period,video_id,title,channel,published_at,duration_seconds,format_type,view_count,like_count,comment_count
2024,Y3ZpWp18KvY,Korea is living in the future,Livin in Korea,2024-11-27,20,shortform,23968691,886137,4194
2024,5b8Hq8monXY,North Korea's cruel justice shocks the world | By Prashant Dhawan,StudyIQ IAS,2024-09-04,59,shortform,21011947,944154,23461
2024,Atl1g33pEC4,$10 Lunch at 7/11 Korea,Chef Tyler,2024-08-27,59,shortform,25023191,1199681,10321
2024,VCSytzYAYuw,The Real Korean Lecture✅ #learnkorean,Jeff Kimieee,2024-01-27,18,shortform,21328773,764790,4514
2024,NkzUQVBUZZw,Sal de Bambú 🎋 De Corea 🇰🇷,CHEFSCHWARZ,2024-03-30,60,shortform,22582342,994167,1590
2024,jIUr9BGzfhw,Trying KFC at an Empty New Korean Fried Chicken Restaurant,Clement Leung,2024-02-14,41,shortform,21685403,1503079,5813
2024,D-EbayYmiNg,Day 100 of ONLY eating food from a Korean Convenience Store! #korea #koreanconveniencestore #ramen,Koreanosh,2024-01-27,53,shortform,19914553,725501,4842
2024,r5VuzUVXJKs,Day 35 of ONLY Eating Food From a Korean Convenience Store!,Koreanosh,2024-11-05,59,shortform,25802649,685270,4925
2024,l_kVTJGdrfQ,They call this drug eggs in Korea because these are so addictive!! 😳🥚🔥 Day 10 of Korean food,Chef Chris Cho,2024-01-11,60,shortform,19517389,1431936,12558
2024,oA0Y99fQJo0,A day in Korea🇰🇷 #Korea #KoreanFood,Pooh in Korea,2024-06-26,57,shortform,20031261,776670,1975
2024,y1w7iRfPIH4,Only Eating GIANT Foods From a Korean Convenience Store!,Koreanosh,2024-10-21,52,shortform,20668680,737897,6825
2024,zENvmJ4-_uc,PUSING BANGET JADI CWE NAPA SUKA BELANJA🗿 #holidayswithshorts #travel #korea #belanja #trending,Allecia Angeline,2024-12-13,16,shortform,25505697,359671,1331
2024,PLrJDRttSXI,Покушали в КОРЕЙСКОМ УНИКЕ #корея #корейцы #учебазаграницей,Keynece ,2024-02-17,61,longform,18610056,674065,1860
2024,WTj8Qm-FJWE,"Когда закончился Снэк, но ты в Корее #корея #корейцы",Keynece ,2024-03-21,59,shortform,17717175,735867,2119
2025,C9LGn6Aj2JU,#kpop #korea #funny #cute #love,2025kpop,2025-11-26,42,shortform,346900977,2214056,1467
2025,6BdrKjSMBJY,[Never Ending Korea with PARK BO GUM] - On My Way (Official MV),Imagine Your Korea,2025-07-29,161,longform,147087126,23516,2259
2025,L9S3yXa7Jmw,"[Never Ending Korea with PARK BO GUM] - One Day, Korea Came to Me(Official Short Film)",Imagine Your Korea,2025-07-29,167,longform,142319064,25242,2736
2025,0QaUntBAX2s,3 Things In Korea That Need To Exist Everywhere,Livin in Korea,2025-05-19,34,shortform,131395172,2112594,9761
2025,-q6_wo6aowo,7KG Korean Donkatsu  Challenge! #foodchallenge,Zermatt Neo,2025-01-27,59,shortform,77007763,2665452,8712
2025,dVhyG6L77BI,Unbelievable Rules Of North Korea 😱,FactoHolic,2025-08-14,77,longform,113519561,2779667,13691
2025,j5zwL9fCXBo,(Customer Vs Shop Keeper 😂) ~ New Funny Korean Video 😍 #movie #doonakdrama #koreandrama,Sudha L Stories,2025-08-16,60,shortform,103852700,0,458
2025,xMs0YyLNDGg,완벽한 고추 재배 기술: 한 번에 대량 수확 #shorts #korea #농업 #수확,Craftsman Bull,2025-06-07,5,shortform,183990184,291896,402
2025,4KRXp2-ehD4,This is why Korea is living in 2050 🥰🇰🇷,Livin in Korea,2025-01-29,26,shortform,60242228,1425680,5315
2025,lHLAIkhVZNA,Echoes of Korea – Gyeongsang #ImagineYourKorea #Echoes_of_Korea #Gyeongsang,Imagine Your Korea,2025-07-17,148,longform,61705544,30039,2995
2025,pql25lO3s4I,ice bar battle🤣🤣🤣#shorts #korea #japan,Wes-P / ウエスP,2025-06-20,39,shortform,76664753,585551,3984
2025,-ckhl9OPF9o,Echoes of Korea – Jeolla #ImagineYourKorea #Echoes_of_Korea #Jeolla,Imagine Your Korea,2025-07-10,142,longform,54464980,26779,2405
2025,maxtsb1S45U,These days Korean people be like..🤣 #selfie #korea #korean,Dana Kim,2025-10-10,13,shortform,79300248,1207643,3925
2025,G3y6KXq6QNg,Winter in Korea is soooo beautiful 😍,Livin in Korea,2025-01-01,27,shortform,37950253,1128533,5335
2025,NcWflaXD0To,Woman Want Five Rice For Unknown Reason😔😱~New Korean Love Stories Drama #doonakdrama #koreanwebtoons,Sudha L Stories,2025-05-22,60,shortform,68802255,692081,493
2025,zE-qfIuu3LM,BASKIN ROBIN ICE CREAM CAKE KOREA🎂 🧁 🍨,Jessica Effendy,2025-07-09,61,longform,45811977,795195,11215
2025,frjqckx83aA,Indian People Treated Korean Girl Badly 😔,MS Fact Back,2025-09-30,34,shortform,61340251,0,12491
2025,RAkb7AzZv8k,Never Sit On Bike 😱~Hygiene And Safety Video 😍 (New Korean Video ) #film #doonakdrama #koreandrama,Sudha L Stories,2025-07-28,60,shortform,59410644,540944,305
2025,DSHN1Oxhl-Q,Beware Of This Dengerous Hair Clip 😯😱 ~ Korean New Shorts #movie #doonakdrama #koreandrama #film,Sudha L Stories,2025-07-10,60,shortform,58822671,566855,196
2025,7tWw-ExzcxY,Zoya ko mila Super power 😳 #kdrama #cdrama #drama  #shorts,Tausifilix ,2025-04-16,38,shortform,48626751,0,1218
2025,bX-GP8rMjtI,Day 75 of ONLY Eating Food From a Korean Convenience Store! #squidgame #netflix,Koreanosh,2025-01-10,57,shortform,32449968,776062,7775
2025,U_83LN6-Jx8,Fake Nurse In Hospital Want To Stole Baby 😔😱 ~ New Korean Shorts #movie #doonakdrama #koreanromance,Sudha L Stories,2025-07-07,60,shortform,54246703,535358,214
2025,zsbRDztWUVo,Dessert day in Korea🇰🇷 #mukbang #korean #korea #foodie #yummy #dessert #koreanfood,Hankooktasty,2025-06-29,51,shortform,48265183,780126,3690
2025,J4mm9oUYwSQ,Her Hat Flew Into North Korea 😱 #shorts,boatfenatic,2025-10-11,39,shortform,47831653,955198,0
2025,XmzSBBwkCvo,Rating EVERY Spicy Korean Snack,Nick DiGiovanni,2025-06-18,40,shortform,44137177,505581,3187
2025,DgfHQPhkHxQ,South Korea vs Portugal World Cup Match Imaginary 😱🔥,NDR-UPDATE,2025-10-09,60,shortform,43526142,559575,11606
2025,khaBt5pFWcg,Spot on! 🫶 Perfect shot seals the deal for South Korea at #Pyeongchang2018! #Olympics,Olympics,2025-03-18,20,shortform,44916994,635003,1404
2025,QnJLsx2DrFI,This is why Korea is living in the future 🥰🇰🇷,Livin in Korea,2025-02-08,38,shortform,23328616,923638,5571
2025,QyELkGcE64Q,The Race Of Life 🌍 ( Rich 💰 Vs Poor 😔 ) ~ Korean Shorts Drama #film #doonakdrama #koreanromance,Sudha L Stories,2025-07-18,60,shortform,41859709,391477,300
2025,aDbDm_W4K4I,Handsome Korean Boy 😍 Kdrama OppaVibes✨#Shorts#HandsomeKoreanBoy #KoreanBoy#KoreanBoys#CuteKoreanBoy,Silent Origins ,2025-09-10,13,shortform,44299316,493493,15104
2025,YwYNtUL6Yb4,"CEO Dingin Tak Pernah Sentuh Wanita, Kini Bawa Gadis Miskin Pulang & Dimanja Bak Putri Raja!",Gemar Film Cina,2025-12-28,9568,longform,20625966,157784,4821
2025,Kn8T06OErmg,Pregnant Woman Should Avoid This In Hospital 😔😘 New Korean Shorts 😍 #film #koreandrama #doonakdrama,Sudha L Stories,2025-08-08,60,shortform,40424097,433400,214
2025,oRvVuf3l8go,Korean restaurant hits differently,Uyen Ninh,2025-10-18,33,shortform,38422019,1435921,6107
2025,Sm-ivU3Tuc8,Oppa Korea Bantuin Vilmei Bawain Belanjaan,Vilmei Fanspage,2025-09-23,60,shortform,36421341,272201,1335
2025,_m_1Zl3DJFc,LAPAR TENGAH MALEM DI KOREA😭🇰🇷,Jessica Effendy,2025-07-03,97,longform,26922908,483118,6646
2025,GqzftAao7I4,KPDH 🇰🇷Korea🇰🇷 K-Pop Demon Hunters(케이팝 데몬 헌터스)324회 코믹월드 무대 공연 코스프레,프리윙즈 쥬니어 - FREEWINGS JR,2025-09-15,855,longform,18517930,85817,2486
2025,wOLkkvH4z84,When Desis Go To KOREA For The First Time,Slayy Point,2025-07-21,1751,longform,18045115,378034,11398
2025,wfyf6z8mIUI,I’m Korean… So I was so confused 😭,Jumy,2025-08-13,21,shortform,37301387,830026,5222
2025,aZbfUgtNMXk,REAKSI ORANG KOREA MAKAN SEBLAK LEVEL 10‼️,REAKSI BULE,2025-07-08,38,shortform,30320043,328895,1109
2025,ex-Nd25qxjw,why my Korean mom sleeps on the floor in the living room + cozy night routine! #korean #sleep #tea,ahnestkitchen,2025-12-18,102,longform,31654415,1141708,6407
2025,IyEkXQBiJyw,Dessert box in Korea🇰🇷 #mukbang #foodie #yummy #korean #korea #food #seoul #dessert,Hankooktasty,2025-07-21,52,shortform,29965648,481055,3908
2025,UqRfAhmHyUw,Fake Shoe Cleaner Scam Beautiful Lady 😯😘 ( New Korean Hindi Stories 😍 ) #doonakdrama #movie #drama,Sudha L Stories,2025-08-21,60,shortform,32014257,322985,196
2025,cqwGgwgVRiQ,North Korean phones are INSANE 😭,John Casterline,2025-06-02,38,shortform,31616309,1110953,7331
2025,GTas11yCROE,200 Korean Chicken Wing Challenge! #foodchallenge,Zermatt Neo,2025-11-25,60,shortform,26297545,925190,4693
2025,gp_DhfrjyTQ,Lonely lonely Korean wr verison #countryballs #edit #memes #meme #shorts,Keysha_cbindo,2025-09-14,20,shortform,31681542,237963,7157
2025,TneosAzs3L4,❤️A Super Star Celebrity Boy Came To Her School Later She Find Out He Stay In Her House Then She..❤️,K-dramamixhindi,2025-07-24,1011,longform,15661241,114482,2161
2025,uDs_rhyT-HM,Most Handsome Korean Boy Edit 💜”#koreanboy#handsome#kpop #viralshorts #foryou #trending#koreanedit,Silent Origins ,2025-09-12,15,shortform,30363742,395331,15346
2025,Ufmu1WD2TSk,SOUTH KOREA IS OVER,Kurzgesagt – In a Nutshell,2025-04-02,887,longform,15363985,501548,76835
2025,Y5exrSl17iE,i tried to keep my edits organized #korea @GIRLSGENERATION,강지안 JIANNE,2025-10-13,49,shortform,26844585,468738,2973
2025,Q629BEAso7o,the power of BTS 🔥| keep supporting |#bts  #korea #kpop  #trending  #shorts,bts4u_7,2025-07-05,15,shortform,32545782,863618,2527
2026,bgUb436TZeE,How Korea Eats Buldak vs USA 🔥🍜,Mr. Ploof,2026-01-28,35,shortform,84666997,526326,357
2026,YSa-UD0RmwM,-35 °C in just shorts… and Korean TV!,The Slavic Iceman,2026-02-09,25,shortform,50016639,1116848,7248
2026,nDg0VexToLI,Japan vs Korea : Rice bowl,Hahn Scroll,2026-03-08,58,shortform,48541964,1543258,13739
2026,VO2suoZIbZ4,How Korea Eats Buldak vs USA 😅,Mr. Ploof,2026-02-17,38,shortform,40705438,353197,346
2026,HRxpuNwqpyg,Order vs Expression — North Korea & New Zealand Parliaments,mAd miNds,2026-01-14,22,shortform,51333623,565522,6653
2026,n20k7GPEVL4,USA vs. KOREA Buldak Ramen💀💀 with @spizee,IamfromKorea,2026-03-19,40,shortform,39338951,482208,2204
2026,QqFgpNqdqEs,Don’t try this Korean lip tutorial 😭,Kateryna ,2026-04-02,39,shortform,28972336,339440,605
2026,kiJW76YBnPE,Diabetes day in Korea🇰🇷 #dessert #mukbang #seoul #korea #korean,Hankooktasty,2026-02-03,53,shortform,25657966,486280,2355
2026,QmHhGkRpf94,🇰🇷 What i ate for meals in Korea Part 800 #Korea #KoreanFood #mukbang #Shorts #foodie #yummy #lunch,Local kitchen LOKI,2026-04-24,157,shortform,24131273,384220,3206
2026,BOKqN8qtECQ,🌶️Buldak + 🍜korean ramyeon : 1 Second vs 100 Hour,Romi Mukbang,2026-04-18,66,longform,17194759,312820,1265
2026,ZXNXxDjfCy0,Dessert day in Korea🇰🇷 #dessert #mukbang #korean #korea #foodie #yummy #seoul #food #cake,Hankooktasty,2026-01-08,51,shortform,16192866,288644,1135
2026,gaVxUkKGh_o,KOREA SURPRISES 😎 #countryhumans,StateHuman,2026-03-25,17,shortform,24669589,287617,1630
2026,oWGSJ5M7NEk,paying $250 to get roasted professionally in Korea 🤡 | Korean body analysis personal color #kbeauty,Mona 🫶,2026-03-03,33,shortform,20784688,465974,1540
2026,7YFgU65Vo_0,Rumi and Mira are fighting over a golden vase!#kpopdemonhunters #kpop  #korea #funny,Magicvideo,2026-01-30,56,shortform,21295045,631512,2083
2026,XTHrCv4h6yQ,Deepest Swimming Pool In The World | South Korea Swimming pool | #shorts #swimmingpool,Aj Smart Facts ,2026-02-15,40,shortform,18588085,155889,143
2026,KTtkja1Ce9A,Local lunch in Korea🇰🇷 #mukbang #korean #korea #seoul #foodie #yummy,Hankooktasty,2026-02-06,51,shortform,12431904,227234,972
2026,X7pRpyaznD8,How North Korea Teaches Math,HOME ROOM SHOW,2026-03-10,63,longform,17718194,454871,4345
2026,aZyD6EPl6KU,[LIVE] 대한민국 24시간 뉴스채널 YTN, YTN,2026-03-20,0,shortform,8803817,9657,0
2026,9T1C8WENceI,Brazil vs South Korea World Cup 2026 Penalty Shootout,UNREAL0.5,2026-03-24,60,shortform,17301830,184444,1265
2026,GH9lBPAcYmc,Kim's daughter 💀 #korea,Lord Politics,2026-02-05,19,shortform,16679099,334105,4424
2026,AaV4LNt1x9w,3 things in korea that don’t exist elsewhere 🤫🇰🇷,Hangukii,2026-01-14,32,shortform,14552905,261647,1153
2026,u9B-rDWa60o,🇰🇷Korean BBQ Chicken with Global Sauces🇮🇳🇺🇸🇯🇵🇹🇭,Romi Mukbang,2026-04-28,65,longform,9742256,222678,2445
2026,UUAUkaDfqlQ,What does Rumi want? 💍👰‍♀️ #korea #funny #kpop,SparkTales,2026-03-03,35,shortform,14189545,131078,805
2026,2hQMuWwdGPI,India 🇮🇳 VS Korea 🇰🇷⁉️ #ASMR #RAMEN,Ramon,2026-03-30,29,shortform,12899836,156050,2257
2026,ykTzD9M7Ctk,"Kamsahamnida Lyrical - Korean Kanakaraju | Varun Tej, Ritika | Merlapaka | Thaman S | Sid Sriram",T-Series Telugu,2026-04-11,210,longform,13474446,113741,2810
2026,7uQteBHlKP0,This Magician Walked Into North Korea… And Made The Guards Laugh 😳❤️,MotivationSeedz,2026-03-28,58,shortform,11403467,227017,1491
2026,B00KFL3bLA4,This is how they make sugar-free candy in South Korea 🇰🇷,Digital Brain,2026-03-17,85,longform,8529111,287296,2793
2026,ZybB6u4KrsI,How to ask for things in Korean❤️ pt.2,Hansberrry 한스베리,2026-03-26,16,shortform,12669439,218374,4448
2026,AiPTRKkFpmU,Eating GIANT Foods from a Korean Convenient Store 😋 @Koreanosh,Spizee,2026-03-11,47,shortform,12483630,120539,2359
2026,SbNLvpSuzRc,Lunch of ordinary office workers in Korea🇰🇷 #mukbang #korean #korea #foodie #yummy #food,Hankooktasty,2026-01-31,51,shortform,8503090,146452,454
2026,WofgNIM1O18,백점포차 에이스와 예쁜 알바 시급 차이 #snl코리아,야그쟁이,2026-04-28,57,shortform,12166811,91071,1879
2026,yXdzKqhEA9M,Why Otto Warmbier Didn't Survive North Korea,fern,2026-01-11,2240,longform,5830373,124776,21626
2026,9-35uv_cZes,Drafting the Ultimate Korean Convenience Store Combo w/ @iamfromkorea @JoshSlavin @Koreanosh,ARTYTIME,2026-04-18,74,longform,9476462,341759,877
2026,eOS5oVUa000,Unique things to do in Korea 🇰🇷 #11,Baochi Travel,2026-03-24,42,shortform,11564025,192991,405
2026,tEqlJTmYrKY,Trying Jungkook's Favorite Korean ICE CREAM,Wanderers Hub Shorts,2026-01-14,31,shortform,10372739,158278,194
2026,145aZMk_pg0,North Korea’s New Leader 🤔🇰🇵,John Casterline,2026-02-14,33,shortform,10748177,450524,5822
2026,lfcJJ3iqyj8,The Only Way To Escape North Korea,Top 10s Shorts,2026-03-25,131,longform,9477957,395293,1671
2026,D0njjjrJ_Qo,3 Game-Changing Innovations I Found in Korea! 🇰🇷✨,Bubbles in Korea,2026-04-28,46,shortform,9048360,141193,547
2026,DA7x3PobQ0U,Helados más virales de Corea del Sur #coreadelsur #corea #helados #dulces,JC NANOO,2026-04-30,137,longform,7190757,251907,2358
2026,8QmiluyVGSg,What I Ate for Lunch at a High School in Korea Part 41 🇰🇷🏫 #korea #southkorea #seoul #koreanfood,Gaezari 게자리,2026-04-17,39,shortform,9041458,186628,885
2026,pPpEq5yi1O0,🇰🇷Vs 🇮🇳 with @kashish #jooshica #makeup #korean #indian,Jooshica,2026-02-03,102,longform,7682080,361559,4224
2026,i3EP_4VY8BI,Office lunch in Korea🇰🇷 #mukbang #korean #koreanfood #foodie #yummy #food #seoul,Hankooktasty,2026-03-01,51,shortform,7507822,179995,869
2026,XSSUh_si5k0,"""Bro too real😂😂😂#foryou #fyp#nocopyrightinfringementintended #korea #southkorea #discopangpang.",MFT - My Football Top,2026-03-31,34,shortform,8907587,108334,224
2026,mYw-X1D7kFI,North Korea scam exposed 😭🇰🇵,John Casterline,2026-04-08,52,shortform,9233777,486261,3702
2026,BVyz2jwOIr8,Top Mind-Blowing Facts About South Korea 😱 PART - 2,FactAisle हिंदी,2026-01-16,51,shortform,8167820,192912,246
2026,GO5jASscdds,Office lunch in Korea🇰🇷 #mukbang #seoul #korean #korea #foodie #yummy #koreanfood,Hankooktasty,2026-03-05,51,shortform,8896204,152893,437
2026,BEkoOwhQiDg,해외에서 한국뽕을 느껴버린 외국인ㅋㅋ,미제 조셉,2026-01-06,48,shortform,10063460,148896,5838
2026,gXVxLTMM7kk,The Asian Country with Less Tourism than North Korea!!,Best Ever Food Review Show,2026-03-20,2259,longform,4820584,48621,3785
2026,yF_fezSoDIk,외국학생들이 생각하는 한국유학생들의 특징,요건 인정이지,2026-02-01,77,longform,9466395,113882,1259
2026,VvDkrAlPe9Q,Usus berlemak panggang khas Korea ini sangat diminati,Kepo Is Curious!,2026-04-09,39,shortform,5980953,142592,524
